casa: vivienda residencial
ictus: accidente cerebrovascular
epilepsia: crisis neuronal
parálisis: pérdida motora
sordera: deficiencia auditiva
ceguera: ausencia visual
mudez: incapacidad verbal
autismo: espectro neurodivergente
depresión: trastorno anímico
ansiedad: estado inquietud
estrés: tensión psicológica
euforia: exaltación emocional
ira: enojo intenso
miedo: temor instintivo
sorpresa: reacción inesperada
asco: repulsión sensorial
confianza: seguridad personal
duda: incertidumbre cognitiva
esperanza: expectativa positiva
desesperación: pérdida fe
orgullo: autoestima elevada
vergüenza: pudor social
culpa: remordimiento moral
envidia: deseo ajeno
codicia: avaricia posesiva
pereza: inactividad voluntaria
gula: exceso comestible
lujuria: apetito sexual
soberbia: arrogancia excesiva
humildad: modestia virtuosa
generosidad: dádiva desinteresada
egoísmo: interés propio
compasión: empatía sufriente
indiferencia: apatía emocional
curiosidad: afán exploratorio
aburrimiento: tedio prolongado
diversión: entretenimiento placentero
trabajo: esfuerzo productivo
ocio: tiempo libre
estudio: aprendizaje sistemático
juego: actividad lúdica
deporte: competencia física
música: arte sonoro
danza: movimiento rítmico
pintura: expresión plástica
escultura: modelado tridimensional
literatura: narrativa escrita
poesía: verso lírico
teatro: representación dramática
cine: arte cinematográfico
fotografía: captura lumínica
arquitectura: diseño estructural
moda: tendencia vestimentaria
cocina: preparación culinaria
viaje: desplazamiento exploratorio
turismo: recreación viajera
aventura: experiencia riesgosa
rutina: hábito diario
cambio: transformación variable
progreso: avance evolutivo
regreso: retorno origen
innovación: creación novedosa
tradición: costumbre heredada
cultura: patrimonio colectivo
idioma: sistema lingüístico
palabra: unidad semántica
frase: construcción sintáctica
oración: enunciado completo
párrafo: bloque textual
capítulo: sección narrativa
novela: ficción extensa
cuento: relato breve
leyenda: mito narrativo
historia: crónica pasada
mito: relato simbólico
ciencia: conocimiento empírico
tecnología: aplicación práctica
matemáticas: disciplina numérica
física: estudio materia
química: reacción molecular
biología: ciencia vida
astronomía: observación cósmica
geología: estructura terrestre
ecología: interacción ambiental
psicología: mente humana
sociología: sociedad colectiva
economía: gestión recursos
política: gobernanza pública
filosofía: reflexión existencial
religión: creencia divina
espiritualidad: conexión trascendente
arte: expresión creativa
belleza: armonía estética
fealdad: desagrado visual
simetría: equilibrio proporcional
caos: desorden impredecible
orden: estructura organizada
ley: norma jurídica
crimen: acto delictivo
castigo: sanción penal
perdón: absolución compasiva
venganza: retribución dañina
poder: autoridad dominante
sumisión: obediencia pasiva
rebeldía: oposición activa
revolución: cambio radical
evolución: progreso gradual
extinción: desaparición especie
conservación: preservación ecológica
contaminación: degradación ambiental
reciclaje: reutilización materiales
energía: renovable sostenible
combustible: fuente fósil
electricidad: flujo electrónico
internet: red global
computación: procesamiento datos
inteligencia: capacidad cognitiva
artificial: simulación máquina
realidad: existencia objetiva
virtual: simulación digital
sueño: aspiración futura
pesadilla: visión aterradora
meta: objetivo perseguido
fracaso: resultado negativo
éxito: logro alcanzado
riesgo: posibilidad adversa
seguridad: protección garantizada
peligro: amenaza inminente
accidente: suceso fortuito
prevención: medida anticipada
rescate: salvamento urgente
supervivencia: persistencia vital
exploración: descubrimiento desconocido
mapa: representación cartográfica
brújula: orientador magnético
telescopio: amplificador óptico
microscopio: visor microscópico
laboratorio: espacio experimental
hipótesis: suposición testable
teoría: explicación fundamentada
experimento: prueba controlada
datos: información cuantitativa
análisis: interpretación detallada
conclusión: deducción final
publicación: difusión científica
conferencia: exposición oral
debate: discusión argumentativa
acuerdo: consenso mutuo
desacuerdo: divergencia opiniones
diálogo: intercambio verbal
monólogo: discurso individual
pregunta: interrogante indagador
respuesta: solución aclaratoria
secreto: información oculta
revelación: divulgación inesperada
misterio: enigma irresuelto
solución: resolución problema
problema: obstáculo desafiante
desafío: reto competitivo
victoria: triunfo conquistado
derrota: pérdida aceptada
estrategia: plan táctico
improvisación: acción espontánea
práctica: ejercicio repetitivo
teoría: conocimiento abstracto
aplicación: uso práctico
herramienta: instrumento funcional
máquina: dispositivo mecánico
robot: autómata programable
vehículo: medio transporte
avión: aeronave alada
barco: embarcación flotante
tren: convoy ferroviario
automóvil: coche motorizado
bicicleta: ciclo pedaleado
motocicleta: moto veloz
autobús: transporte colectivo
metro: ferrocarril subterráneo
helicóptero: rotor aéreo
cohete: propulsor espacial
satélite: orbitador artificial
estación: base espacial
astronauta: viajero cósmico
explorador: aventurero terrestre
científico: investigador empírico
inventor: creador novedoso
artista: expresor creativo
escritor: autor literario
músico: compositor sonoro
director: guía orquestal
productor: gestor contenido
editor: corrector textual
diseñador: planificador visual
programador: codificador software
hacker: intruso digital
usuario: consumidor tecnología
red: conexión interconectada
servidor: anfitrión datos
nube: almacenamiento virtual
cifrado: protección encriptada
virus: malware destructivo
antivirus: defensa digital
copia: duplicado seguridad
original: fuente auténtica
plagio: apropiación indebida
derechos: propiedad intelectual
licencia: permiso uso
dominio: espacio web
correo: mensaje electrónico
chat: conversación instantánea
videollamada: interacción visual
streaming: transmisión continua
podcast: audio narrativo
blog: diario digital
foro: discusión comunitaria
redes: plataformas sociales
perfil: identidad virtual
publicación: contenido compartido
me gusta: aprobación digital
comentario: opinión escrita
compartir: difusión viral
tendencia: moda actual
hashtag: etiqueta temática
influencer: líder opinión
seguidor: audiencia fiel
bloqueo: exclusión usuario
privacidad: confidencialidad datos
exposición: visibilidad pública
fama: reconocimiento masivo
anonimato: identidad oculta
identidad: esencia personal
personalidad: rasgos característicos
carácter: temperamento moral
talento: habilidad innata
esfuerzo: dedicación voluntaria
genio: inteligencia excepcional
mediocridad: promedio común
perfección: ideal sin fallo
imperfección: defecto humano
belleza: atractivo estético
fealdad: repulsión visual
elegancia: refinamiento estilístico
vulgaridad: grosería expresiva
riqueza: abundancia material
pobreza: escasez recursos
lujo: opulencia excesiva
austeridad: simplicidad moderada
felicidad: bienestar duradero
sufrimiento: dolor prolongado
placer: gozo sensorial
dolor: sensación adversa
éxtasis: culminación intensa
agonía: tormento extremo
calma: serenidad tranquila
ansiedad: inquietud persistente
equilibrio: estabilidad armónica
desequilibrio: inestabilidad caótica
armonía: concordancia perfecta
conflicto: oposición violenta
guerra: enfrentamiento armado
paz: ausencia hostilidad
tratado: acuerdo diplomático
alianza: unión estratégica
traición: deslealtad intencional
lealtad: fidelidad inquebrantable
promesa: compromiso verbal
juramento: voto solemne
mentira: falsedad deliberada
verdad: honestidad absoluta
secreto: confidencia guardada
confidencia: trust compartido
rumor: chisme propagado
noticia: información verificada
propaganda: mensaje persuasivo
publicidad: promoción comercial
marca: identidad corporativa
producto: bien consumible
servicio: prestación intangible
cliente: comprador recurrente
proveedor: suministrador recursos
mercado: espacio intercambio
compra: adquisición posesiva
venta: cesión lucrativa
precio: valor monetario
descuento: reducción tarifaria
oferta: propuesta atractiva
demanda: necesidad colectiva
inflación: alza precios
deflación: baja monetaria
inversión: capital productivo
ganancia: beneficio neto
pérdida: déficit financiero
deuda: obligación crediticia
crédito: préstamo facilitado
banco: institución financiera
bolsa: mercado valores
acción: título participativo
dividendo: reparto utilidades
interés: rendimiento capital
hipoteca: garantía inmobiliaria
seguro: cobertura riesgo
póliza: contrato protección
reclamo: solicitud indemnización
fraude: engaño intencional
corrupción: abuso poder
transparencia: claridad operativa
ética: principios morales
estafa: timo financiero
lavado: blanqueo dinero
impuesto: tributo estatal
subsidio: ayuda gubernamental
presupuesto: plan gastos
contabilidad: registro financiero
auditoría: verificación cuentas
empresa: entidad productiva
startup: iniciativa emergente
corporación: conglomerado masivo
emprendedor: innovador negocio
empleado: trabajador asalariado
jefe: líder jerárquico
sindicato: asociación laboral
huelga: paro colectivo
contrato: acuerdo vinculante
despido: terminación empleo
jubilación: retiro laboral
pensión: ingreso pasivo
vacaciones: descanso remunerado
festivo: día conmemorativo
cumpleaños: aniversario natal
boda: unión matrimonial
divorcio: disolución vínculo
familia: núcleo relacional
padre: progenitor masculino
madre: progenitora femenina
hijo: descendiente directo
hermano: consanguíneo fraternal
abuelo: ancestro paterno
nieto: descendiente tercera
amigo: compañero afectivo
enemigo: adversario hostil
vecino: residente colindante
extraño: desconocido anónimo
conocido: persona familiar
íntimo: confidente cercano
pareja: compañero sentimental
soltero: estado civil libre
casado: unión legalizada
viudo: cónyuge sobreviviente
huérfano: sin progenitores
adoptado: hijo legal
herencia: legado patrimonial
testamento: voluntad póstuma
funeral: rito sepultura
cementerio: camposanto eterno
tumba: sepulcro individual
cripta: cámara mortuoria
velorio: vigilia fúnebre
condolencia: pésame solidario
celebración: fiesta conmemorativa
aniversario: fecha recurrente
graduación: culminación estudios
inauguración: apertura oficial
clausura: cierre definitivo
inicio: comienzo temporal
fin: término concluyente
ciclo: secuencia repetitiva
eternidad: duración infinita
instante: momento fugaz
pasado: tiempo transcurrido
presente: ahora actual
futuro: porvenir incierto
memoria: recuerdo retenido
olvido: pérdida mnémica
aprendizaje: adquisición conocimiento
enseñanza: transmisión saber
maestro: guía pedagógico
alumno: aprendiz receptivo
escuela: institución educativa
universidad: centro superior
biblioteca: repositorio libros
museo: exhibición cultural
teatro: sala espectáculos
estadio: arena deportiva
gimnasio: espacio fitness
piscina: alberca natatoria
parque: zona recreativa
jardín: cultivo ornamental
huerto: siembra comestible
granja: explotación agropecuaria
fábrica: planta industrial
oficina: espacio administrativo
tienda: local comercial
supermercado: autoservicio masivo
restaurante: establecimiento gastronómico
hotel: hospedaje turístico
aeropuerto: terminal aéreo
estación: nodo transporte
calle: vía urbana
avenida: arteria principal
plaza: espacio público
edificio: construcción vertical
rascacielos: torre alta
casa: morada familiar
apartamento: unidad habitacional
chalet: residencia campestre
castillo: fortaleza medieval
palacio: mansión regia
cabaña: refugio rústico
tienda: campaña portátil
caravana: vehículo nómada
yate: embarcación lujo
submarino: nave sumergible
tanque: vehículo blindado
helicóptero: aeronave rotatoria
drones: UAV autónomo
satélite: orbitador artificial
telescopio: instrumento astronómico
binoculares: visor binocular
lupa: amplificador manual
termómetro: medidor temperatura
barómetro: indicador presión
higrómetro: sensor humedad
anemómetro: velocímetro viento
sismógrafo: detector terremotos
radar: localizador ondas
sonar: ecosonda submarina
GPS: posicionador satelital
brújula: norte magnético
reloj: cronómetro preciso
calendario: agenda temporal
agenda: planificador diario
cuaderno: bloc notas
pizarra: superficie escritura
lápiz: grafito encajado
pluma: estilográfica tinta
marcador: rotulador grueso
goma: borrador elástico
regla: medida lineal
compás: trazador circular
calculadora: computar numérico
ábaco: contador manual
telégrafo: transmisor Morse
radio: emisor ondas
televisión: receptor audiovisual
cámara: capturador imágenes
micrófono: transductor voz
altavoz: emisor sonido
auriculares: receptor personal
proyector: amplificador visual
pantalla: superficie display
teclado: entrada táctil
joystick: controlador juegos
volante: dirección vehicular
pedal: accionador pie
palanca: amplificador fuerza
engranaje: mecanismo dentado
tornillo: fijador roscado
clavo: punzón metálico
pegamento: adhesivo químico
cinta: fijador adhesivo
grapadora: unidor grapas
perforadora: taladrador papel
archivador: organizador documentos
carpeta: contenedor papeles
sobre: envoltorio postal
sello: timbre adhesivo
paquete: bulto embalado
caja: embalaje rígido
bolsa: contenedor flexible
mochila: carga dorsal
maleta: equipaje viajero
bolso: accesorio portátil
cartera: portador monetario
monedero: depósito monedas
tarjeta: plástico crédito
billete: papel moneda
moneda: pieza metálica
cheque: orden pago
transferencia: movimiento bancario
pago: liquidación deuda
cobro: recepción fondos
factura: comprobante venta
recibo: constancia recepción
presupuesto: estimación costos
balance: equilibrio contable
activo: recurso posesivo
pasivo: obligación financiera
capital: fondo inicial
interés: ganancia porcentual
divisa: moneda extranjera
cambio: tipo intercambio
bolsa: mercado bursátil
índice: indicador económico
crisis: colapso financiero
recuperación: restablecimiento growth
crecimiento: expansión sostenida
estancamiento: paralización progreso
globalización: integración mundial
comercio: intercambio bienes
exportación: venta exterior
importación: compra foránea
arancel: impuesto aduanal
tratado: acuerdo comercial
zona: área franca
puerto: hub logístico
aeropuerto: nodo aéreo
ferrocarril: red ferroviaria
autopista: vía rápida
tráfico: flujo vehicular
congestion: atasco urbano
transporte: movilidad colectiva
logística: gestión cadena
almacén: depósito mercancías
inventario: registro stock
pedido: solicitud suministro
entrega: distribución final
cliente: receptor servicio
satisfacción: aprobación usuario
queja: disconformidad expresada
garantía: cobertura defecto
devolución: retorno producto
reembolso: restitución pago
promoción: incentivo venta
rebaja: descuento temporal
liquidación: venta final
subasta: puja competitiva
colección: acumulación temática
antigüedad: objeto histórico
joya: adorno precioso
reliquia: vestigio sagrado
trofeo: premio conquistado
medalla: distinción honorífica
diploma: certificado académico
título: credencial profesional
patente: derecho invento
marca: registro comercial
dominio: propiedad web
código: fuente programática
algoritmo: secuencia lógica
base: datos estructurada
servidor: host remoto
protocolo: norma comunicación
firewall: barrera seguridad
encriptación: codificación datos
autenticación: verificación identidad
contraseña: clave acceso
biometría: reconocimiento físico
huella: dactilar única
iris: patrón ocular
voz: firma acústica
ADN: código genético
clon: copia idéntica
transgénico: organismo modificado
nanotecnología: escala atómica
cuántica: física subatómica
relatividad: teoría einsteiniana
big bang: origen universo
agujero: negro gravitacional
materia: oscura invisible
energía: oscura expansiva
partícula: elemental cuántica
onda: propagación vibratoria
campo: fuerza extendida
gravedad: atracción masiva
electromagnetismo: interacción cargas
nuclear: fuerte unión
débil: decaimiento radioactivo
fusión: unión núcleos
fisión: división atómica
radiación: emisión energética
isótopo: variante nuclear
elemento: químico puro
compuesto: mezcla molecular
reacción: transformación química
catalizador: acelerador proceso
polímero: cadena macromolecular
cristal: estructura ordenada
líquido: estado fluido
gas: fase dispersa
plasma: ionizado gaseoso
vacío: ausencia materia
presión: fuerza área
volumen: espacio ocupado
densidad: masa volumen
temperatura: grado térmico
conducción: transferencia contacto
convección: flujo fluido
radiación: emisión ondas
óptica: ciencia luz
lente: refractor curvado
espejo: reflector plano
prisma: dispersor espectral
laser: luz coherente
holograma: imagen tridimensional
sonar: eco acústico
ultrasonido: onda inaudible
infrarrojo: calor radiante
ultravioleta: radiación energética
rayos: X penetrantes
gamma: alta energía
magnetismo: campo atractivo
imán: polo bipolar
corriente: flujo electrones
circuito: camino eléctrico
resistencia: oposición flujo
capacidad: almacenamiento carga
inducción: generación campo
transformador: conversor voltaje
motor: convertidor energía
generador: productor electricidad
batería: acumulador químico
panel: solar fotovoltaico
turbina: rotador fluido
reactor: nuclear controlado
combustión: oxidación rápida
explosión: liberación súbita
detonación: onda choque
proyectil: cuerpo lanzado
bala: munición letal
cañón: arma artillera
misil: guiado explosivo
bomba: dispositivo destructivo
mina: trampa oculta
escudo: protección defensiva
armadura: cobertura corporal
casco: protector craneal
espada: arma cortante
lanza: proyectil punzante
arco: propulsor flechas
flecha: dardo emplumado
ballesta: arco mecánico
pistola: arma portátil
rifle: cañón largo
ametralladora: fuego automático
tanque: blindado móvil
submarino: sumergible armado
portaaviones: base naval
caza: avión combate
bombardero: lanzador explosivos
drones: aéreo armado
satélite: espía orbital
radar: detección enemiga
código: cifrado militar
estrategia: plan bélico
táctica: maniobra campo
inteligencia: información enemiga
espionaje: infiltración secreta
contraespionaje: defensa infiltrados
diplomacia: negociación pacífica
embajada: representación extranjera
consulado: servicio ciudadano
visado: permiso entrada
pasaporte: documento viaje
frontera: límite territorial
aduanas: control importación
migración: flujo poblacional
refugiado: desplazado forzado
exilio: destierro político
ciudadanía: pertenencia estatal
voto: elección democrática
elección: proceso electoral
candidato: aspirante cargo
partido: agrupación política
parlamento: asamblea legislativa
senado: cámara alta
congreso: cuerpo representativo
presidente: jefe ejecutivo
primer: ministro gubernamental
gobernador: autoridad regional
alcalde: mandatario municipal
ley: norma aprobada
constitución: carta fundamental
derecho: sistema jurídico
tribunal: instancia judicial
juez: árbitro legal
fiscal: acusador público
defensor: abogado acusado
testigo: declarante ocular
prueba: evidencia procesal
sentencia: fallo judicial
apelación: recurso superior
indulto: gracia ejecutiva
pena: capital ejecución
prisión: reclusión penal
libertad: condicional supervisada
probación: alternativa carcelaria
reforma: rehabilitación reo
delincuencia: crimen organizado
mafia: red criminal
terrorismo: violencia política
secuestro: retención forzada
extorsión: chantaje lucrativo
robo: sustracción bienes
hurto: apropiación sigilosa
asalto: agresión armada
homicidio: muerte intencional
asesinato: homicidio premeditado
suicidio: autoeliminación voluntaria
eutanasia: muerte asistida
aborto: interrupción embarazo
clonación: reproducción idéntica
trasplante: intercambio órganos
prótesis: reemplazo artificial
implante: dispositivo interno
cirugía: plástica estética
lifting: tensado facial
liposucción: extracción grasa
botox: paralizante arrugas
láser: depilación permanente
ortodoncia: alineación dental
blanqueamiento: aclarado esmalte
corona: prótesis dental
puente: restauración múltiple
empaste: relleno cavidad
extracción: remoción diente
anestesia: local insensible
sedación: relajación consciente
hospital: centro médico
clínica: consultorio especializado
farmacia: dispensario medicamentos
laboratorio: análisis clínico
rayos: X diagnóstico
tomografía: imagen seccional
ecografía: ultrasonido interno
mamografía: detección mamaria
endoscopía: exploración interna
biopsia: muestra tisular
cultivo: bacteriano identificación
antígeno: marcador inmune
anticuerpo: defensor proteico
inmunidad: resistencia patógenos
pandemia: brote global
epidemia: foco regional
cuarentena: aislamiento preventivo
mascarilla: barrera respiratoria
desinfectante: eliminador gérmenes
jabón: limpiador espumoso
alcohol: sanitizante líquido
gel: hidroalcohólico portátil
termómetro: digital infrarrojo
pulsoximetro: medidor oxígeno
ventilador: soporte respiratorio
oxígeno: suplemento gaseoso
plasma: convaleciente terapéutico
vacuna: ARN mensajero
booster: dosis refuerzo
inmunización: colectiva protección
variante: mutación viral
contagio: transmisión patógena
síntoma: manifestación enfermedad
fiebre: elevación térmica
tos: expulsión aérea
estornudo: reflejo nasal
fatiga: agotamiento general
dolor: muscular articular
náusea: malestar gástrico
diarrea: alteración intestinal
erupción: cutánea dermatológica
picor: irritación sensorial
hinchazón: edema localizado
sangrado: hemorragia visible
mareo: vértigo posicional
desmayo: pérdida conciencia
convulsión: crisis motora
